"comparison_universe","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"All DTU genes","GO:0034612","response to tumor necrosis factor","11/431","32/2524",0.34375,2.01305104408353,2.6166458367553,0.0132612456922362,0.566169881147751,0.549739192361954,"Cpne1/Cib1/Ikbkg/Ccl25/Ilk/Trim32/Traf6/Tjp2/Rffl/Hipk1/Sirt1",11
"All DTU genes","GO:1905952","regulation of lipid localization","11/431","32/2524",0.34375,2.01305104408353,2.6166458367553,0.0132612456922362,0.566169881147751,0.549739192361954,"Apoe/Trem2/Vstm2a/Abca3/Cav1/Acsl1/Fis1/Osbpl8/Nr1h3/Sirt1/Furin",11
"All DTU genes","GO:0006753","nucleoside phosphate metabolic process","25/431","95/2524",0.263157894736842,1.5410917083893,2.43911103103664,0.0137547585273532,0.566169881147751,0.549739192361954,"Rab23/Tyms/Trem2/Txnrd1/Nnt/Pde9a/Dut/Adcy8/Impdh1/Ppargc1a/Acot7/Acsl1/Adal/Ak2/Far1/Fis1/Hsd11b1/Ins2/Nadsyn1/Pde1a/Snca/Cacnb4/Gcdh/Bad/Gck",25
"All DTU genes","GO:0030193","regulation of blood coagulation","6/431","13/2524",0.461538461538462,2.70283776548278,2.79276401131529,0.0140081849399725,0.566169881147751,0.549739192361954,"Apoe/Foxa2/Cav1/Tspan8/Ano6/Tfpi",6
"All DTU genes","GO:0033344","cholesterol efflux","6/431","13/2524",0.461538461538462,2.70283776548278,2.79276401131529,0.0140081849399725,0.566169881147751,0.549739192361954,"Apoe/Trem2/Abca3/Cav1/Nr1h3/Sirt1",6
"All DTU genes","GO:0048662","negative regulation of smooth muscle cell proliferation","6/431","13/2524",0.461538461538462,2.70283776548278,2.79276401131529,0.0140081849399725,0.566169881147751,0.549739192361954,"Apoe/Cav1/Ppargc1a/Cdkn1a/Ilk/Ndrg4",6
"All DTU genes","GO:0060760","positive regulation of response to cytokine stimulus","6/431","13/2524",0.461538461538462,2.70283776548278,2.79276401131529,0.0140081849399725,0.566169881147751,0.549739192361954,"Cpne1/Taf9/Trem2/Wnt5a/Cd74/Trim32",6
"All DTU genes","GO:1900046","regulation of hemostasis","6/431","13/2524",0.461538461538462,2.70283776548278,2.79276401131529,0.0140081849399725,0.566169881147751,0.549739192361954,"Apoe/Foxa2/Cav1/Tspan8/Ano6/Tfpi",6
"All DTU genes","GO:0007186","G protein-coupled receptor signaling pathway","26/431","100/2524",0.26,1.52259860788863,2.41943849849566,0.0142002039734158,0.566169881147751,0.549739192361954,"Apoe/Flna/Grk6/Cib1/Rgs3/Sstr2/Trem2/Bicd1/Agrp/Cav1/Adcy8/Adgrb2/P2ry14/Pcp2/Adgrg1/Camk2a/Ccl25/Dgkz/Dnm2/Gpr68/Ins2/Palm/Snca/Inpp5a/Ano1/Adra1a",26
"All DTU genes","GO:0065009","regulation of molecular function","84/431","399/2524",0.210526315789474,1.23287336671144,2.30006150123571,0.0142788745205491,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Cpne1/Crbn/Dnajb6/Eng/Flna/Foxa2/Hnrnpd/Hnrnpk/Ntf3/Pkig/Psme2/Scn3b/Spink2/Spock1/Tbc1d14/Aktip/Btrc/Cib1/Kit/Krit1/Ldb1/Trem2/Bicd1/Cacnb3/Ecsit/Nfib/Nlgn1/Tek/Wnt5a/Ahsa2/Cav1/Cbs/Rps6ka1/Acr/Adcy8/Brd4/Ikbkg/Ppargc1a/Spry1/Timp1/Acer2/Camk2a/Ccl25/Cd74/Cdkn1a/Fcgr2b/Fgfr2/Fis1/Hopx/Ins2/Lck/Map4k2/Npm1/Palm/Parp10/Runx1t1/Snca/Trim32/Vldlr/Cacnb4/Shisa7/Smcr8/Add2/Traf6/Lmf1/Nr1h3/Stk11/Tfpi/Rffl/Hipk1/Sirt1/Bad/Cdk12/Ralgapb/Sipa1l1/Zgpat/Adra1a/Hipk3/Nedd9/Fgd4/Furin/Siva1",84
"All DTU genes","GO:0062012","regulation of small molecule metabolic process","20/431","72/2524",0.277777777777778,1.62670791441093,2.44784458473176,0.0145683738840344,0.566169881147751,0.549739192361954,"Apoe/Foxa2/Zfp692/Kit/Trem2/Cav1/Ppargc1a/Arpp19/Cd74/Fis1/Hsd11b1/Ins2/Snca/Lmf1/Nr1h3/Stk11/Sirt1/Bad/Creb1/Gck",20
"All DTU genes","GO:1901293","nucleoside phosphate biosynthetic process","12/431","37/2524",0.324324324324324,1.89929140277168,2.5002075203047,0.0161396038029986,0.566169881147751,0.549739192361954,"Tyms/Trem2/Dut/Adcy8/Impdh1/Ppargc1a/Acot7/Acsl1/Ak2/Nadsyn1/Snca/Gcdh",12
"All DTU genes","GO:0032370","positive regulation of lipid transport","7/431","17/2524",0.411764705882353,2.41135526136209,2.64908739680847,0.016379375397921,0.566169881147751,0.549739192361954,"Apoe/Trem2/Abca3/Cav1/Acsl1/Nr1h3/Sirt1",7
