"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_172646","Dnm3","Dnm3","Midbrain","15.5","15.5",1,"higher",0.23635,0.23635,0.00477282705212492,0.0948499999999999,0.00383340048593286,0.1723,TRUE,TRUE
"NM_001290749","Rnf130","Rnf130","Midbrain","15.5","15.5",1,"lower",0.187175,0.187175,0.00484908233386475,0.0720000000000001,3.10267076632134e-11,0.0814,TRUE,TRUE
"NM_152220","Stx3","Stx3","Midbrain","15.5","15.5",1,"higher",0.22825,0.22825,0.00491600299254665,0.0908,0.00736437968078543,0.1281,TRUE,FALSE
"NM_001276350","Epc1","Epc1","Midbrain","15.5","15.5",1,"higher",0.1936,0.1936,0.00491884691086761,0.02475,4.00793706000902e-06,0.1934,TRUE,TRUE
"NM_001142920","Tcf7l2","Tcf7l2","Midbrain","12.5","12.5",1,"lower",0.1089,0.1089,0.00495456520219824,0.0959,0.000591007118091285,0.0905,TRUE,FALSE
"NM_001252521","Picalm","Picalm","Midbrain","15.5","15.5",1,"lower",0.2047,0.2047,0.00496594522237992,0.0909999999999999,0.00565658659064172,0.1613,TRUE,FALSE
"NM_001042491","Anapc5","Anapc5","Midbrain","15.5","15.5",1,"higher",0.1236,0.1236,0.00511303042190685,0.0297499999999999,0.0162485452185506,0.0977000000000001,TRUE,TRUE
"NM_001110305","Keap1","Keap1","Midbrain","15.5","15.5",1,"lower",0.12835,0.12835,0.00511460177581151,0.0396,0.0134312101617076,0.0958,TRUE,FALSE
"NM_001161854","Csde1","Csde1","Midbrain","14.5","15.5",2,"higher",0.1133,0.108825,0.00514007988571799,0.0683,0.00137868867464922,0.0821000000000001,TRUE,TRUE
"NM_001198790","Ak1","Ak1","Midbrain","11.5","11.5",1,"lower",0.1019,0.1019,0.00517431525762496,0.0339,3.42878052640753e-08,0.0791,TRUE,FALSE
"NM_001164357","Slc25a25","Slc25a25","Midbrain","15.5","15.5",1,"higher",0.53735,0.53735,0.00517473399744467,0.03325,3.48178299064136e-12,0.4579,TRUE,TRUE
"NM_030197","Cacul1","Cacul1","Midbrain","15.5","15.5",1,"higher",0.2184,0.2184,0.00519592515671897,0.0678500000000001,0.00592421709537635,0.1239,TRUE,TRUE
"NM_001242396","Jmjd1c","Jmjd1c","Midbrain","15.5","15.5",1,"higher",0.1538,0.1538,0.00519889300384084,0.00805000000000011,0.00444617269615124,0.0885,TRUE,TRUE
"NM_183064","Fgf12","Fgf12","Midbrain","15.5","15.5",1,"lower",0.3226,0.3226,0.00527598927006597,0.0727,0.00446678303424723,0.2984,TRUE,TRUE
"NM_024249","Slc38a10","Slc38a10","Midbrain","15.5","15.5",1,"lower",0.34655,0.34655,0.00530163156504851,0.08875,0.00480221593638098,0.3009,TRUE,TRUE
"NM_001309848","Synj2bp-cox16","Synj2bp-cox16","Midbrain","15.5","15.5",1,"lower",0.10635,0.10635,0.00547790616584426,0.0163999999999999,0.00449284966885764,0.0891000000000001,TRUE,TRUE
"NM_015819","Hs6st2","Hs6st2","Midbrain","15.5","15.5",1,"higher",0.4612,0.4612,0.00551435271858769,0.06935,0.000253248618004395,0.3914,TRUE,TRUE
"NM_207221","Jmjd1c","Jmjd1c","Midbrain","15.5","15.5",1,"lower",0.1538,0.1538,0.00551435271858769,0.00805,0.00444617269615124,0.0885,TRUE,TRUE
"NM_001039376","Pde4dip","Pde4dip","Midbrain","15.5","15.5",1,"higher",0.2814,0.2814,0.0055369458201834,0.00325,7.7751721977872e-08,0.2249,TRUE,TRUE
