"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"Fam65b",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Fam78b",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Fcho1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Glra1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Gm13483",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Jmjd1c",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Lsr",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Map3k12",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mon2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mthfd1l",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Nol4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nqo2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nrxn1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Palb2",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Pcdh8",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pth1r",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pus10",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ripk3",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Sema3a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Spata24",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Tcf20",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tmtc3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tnfaip8",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Tsku",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ugp2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Wdr53",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Zfp384",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Zfp60",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfx",TRUE,FALSE,FALSE,"Forebrain only"
"A130010J15Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cryab",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ddit3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dst",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"E130218I03Rik",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Edil3",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Gpank1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nudt6",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Rbm41",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rfx4",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Shoc2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Ssh2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Suds3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Thsd1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tmem2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Vegfa",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zdhhc12",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Zfp280c",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Atp5j",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cep57l1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cln3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Commd6",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pard3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Polr2d",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Renbp",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rita1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Tmem164",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tnip1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ttc21b",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Atg7",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Col4a5",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cspg5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gab1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ghrl",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Gm16973",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Kat2a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Lifr",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Map7d1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rc3h2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Senp8",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Susd6",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Synj2bp-cox16",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Wash1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aebp2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ankrd40",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Astn1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cutc",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
